t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
1.229999999999999982e+00,-5.776548807122168228e-01,-5.776548876248547293e-01,-5.776555719759062235e-01,-5.777240064338504677e-01,-5.845607980296558814e-01,-1.464911168901084526e+00
1.239999999999999991e+00,-5.802946449256458639e-01,-5.802946519359694078e-01,-5.802953459578843454e-01,-5.803647475248896459e-01,-5.872984705484274315e-01,-1.486552473093986304e+00
1.250000000000000000e+00,-5.826178555156373839e-01,-5.826178626221208967e-01,-5.826185661638868529e-01,-5.826889197368275708e-01,-5.897180451164807380e-01,-1.507317835720575427e+00
1.260000000000000009e+00,-5.846236750384719016e-01,-5.846236822394090815e-01,-5.846243951320985177e-01,-5.846956838159336201e-01,-5.918184996656525865e-01,-1.527098953202230547e+00
1.270000000000000018e+00,-5.863113795592489463e-01,-5.863113868527480843e-01,-5.863121089090718163e-01,-5.863843139722888509e-01,-5.935989214330165131e-01,-1.545775779481080026e+00
1.280000000000000027e+00,-5.876803571542028592e-01,-5.876803645381825092e-01,-5.876810955520713753e-01,-5.877541963848544881e-01,-5.950585058129891358e-01,-1.563215694612487550e+00
1.290000000000000036e+00,-5.887301066489825097e-01,-5.887301141211674915e-01,-5.887308538673892144e-01,-5.888048279433690801e-01,-5.961965554480408436e-01,-1.579273043189250103e+00
1.300000000000000044e+00,-5.894602365933949706e-01,-5.894602441513130398e-01,-5.894609923851142907e-01,-5.895358152256001683e-01,-5.970124795716945654e-01,-1.593789373598756498e+00
1.310000000000000053e+00,-5.898704644988911339e-01,-5.898704721398695394e-01,-5.898712285966496438e-01,-5.899468737380277883e-01,-5.975057935895129457e-01,-1.606594855575072422e+00
1.320000000000000062e+00,-5.899606163257696823e-01,-5.899606240469323915e-01,-5.899613884419473431e-01,-5.900378274062035855e-01,-5.976761189061592372e-01,-1.617511503213315383e+00
1.330000000000000071e+00,-5.897306262249759623e-01,-5.897306340232403299e-01,-5.897314060513402234e-01,-5.898086083198040841e-01,-5.975231830222442753e-01,-1.626358923634892317e+00
1.340000000000000080e+00,-5.891805365392398519e-01,-5.891805444113152879e-01,-5.891813237467122821e-01,-5.892592567369010492e-01,-5.970468198862751708e-01,-1.632963224881299080e+00
1.350000000000000089e+00,-5.883104980701617803e-01,-5.883105060125470853e-01,-5.883112923086128987e-01,-5.883899213541173845e-01,-5.962469704998276665e-01,-1.637169282240251045e+00
1.360000000000000098e+00,-5.871207706004509808e-01,-5.871207786094327918e-01,-5.871215714985373868e-01,-5.872008598328937179e-01,-5.951236837797504453e-01,-1.638855639192330793e+00
1.370000000000000107e+00,-5.856117236657436553e-01,-5.856117317373947806e-01,-5.856125308307749133e-01,-5.856924395743414724e-01,-5.936771176848228970e-01,-1.637949977060162210e+00
1.380000000000000115e+00,-5.837838375920454403e-01,-5.837838457222247479e-01,-5.837846506098882671e-01,-5.838651387604214538e-01,-5.919075406134785000e-01,-1.634441804028920142e+00
1.390000000000000124e+00,-5.816377047781953191e-01,-5.816377129625464049e-01,-5.816385232132174066e-01,-5.817195476403741461e-01,-5.898153330386748383e-01,-1.628388639882557332e+00
1.400000000000000133e+00,-5.791740312208732977e-01,-5.791740394548247073e-01,-5.791748546159269928e-01,-5.792563700596882192e-01,-5.874009893809043481e-01,-1.619913209193560188e+00
1.409999999999999920e+00,-5.763936382788289459e-01,-5.763936465575941748e-01,-5.763944661552717896e-01,-5.764764252280869528e-01,-5.846651201578553225e-01,-1.609191796849138711e+00
1.419999999999999929e+00,-5.732974646736568314e-01,-5.732974729922353241e-01,-5.732982965314143975e-01,-5.733806497243398859e-01,-5.816084543589805644e-01,-1.596436682392553319e+00
1.429999999999999938e+00,-5.698865687055694185e-01,-5.698865770587472346e-01,-5.698874040232546623e-01,-5.699700997179513173e-01,-5.782318420533189007e-01,-1.581876978507869680e+00
1.439999999999999947e+00,-5.661621306801418729e-01,-5.661621390624934635e-01,-5.661629689152098965e-01,-5.662459533991966998e-01,-5.745362572223443598e-01,-1.565741737676052070e+00
1.449999999999999956e+00,-5.621254555416346221e-01,-5.621254639475250503e-01,-5.621262961305872885e-01,-5.622095136175646601e-01,-5.705228008146846497e-01,-1.548247530542791184e+00
1.459999999999999964e+00,-5.577779756950598244e-01,-5.577779841186472076e-01,-5.577788180537037732e-01,-5.578622107090795978e-01,-5.661927040159351332e-01,-1.529590928678721928e+00
1.469999999999999973e+00,-5.531212539992973465e-01,-5.531212624345358542e-01,-5.531220975230601855e-01,-5.532056054953209401e-01,-5.615473316956770544e-01,-1.509945151698164123e+00
